                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                 0.5251,                0.50335,                 1.0929,                0.93498,                0.87113,                0.94599,                0.76171,                0.85913,                0.57967,                 1.5013,             0.00015333,             0.00015333,             0.00015333
                    112,                0.51616,                0.50135,                  1.092,                0.94628,                0.83823,                0.95744,                0.78219,                0.84968,                0.56671,                 1.4782,             0.00015168,             0.00015168,             0.00015168
                    113,                0.51842,                0.49384,                 1.0848,                0.93196,                0.86199,                  0.963,                0.77668,                0.86429,                0.54284,                 1.5129,             0.00015003,             0.00015003,             0.00015003
                    114,                0.49847,                 0.4732,                 1.0754,                0.92659,                0.84833,                0.94453,                0.75904,                0.87438,                0.57111,                 1.5405,             0.00014838,             0.00014838,             0.00014838
                    115,                0.50593,                0.46916,                 1.0733,                 0.9284,                 0.8432,                0.95661,                0.76766,                 0.8665,                0.53388,                 1.5059,             0.00014674,             0.00014674,             0.00014674
                    116,                0.49891,                0.46921,                 1.0614,                0.90585,                0.88319,                  0.947,                0.75272,                 0.8993,                0.56056,                 1.5431,             0.00014509,             0.00014509,             0.00014509
                    117,                0.50462,                0.48551,                 1.0855,                0.92517,                0.88931,                 0.9452,                 0.7606,                 0.8987,                0.53714,                 1.5604,             0.00014344,             0.00014344,             0.00014344
                    118,                0.49926,                0.45916,                 1.0716,                0.93472,                0.84339,                0.94532,                0.74521,                0.90561,                0.55534,                 1.5851,             0.00014179,             0.00014179,             0.00014179
                    119,                0.50831,                0.47313,                 1.0866,                0.91996,                 0.8534,                0.94132,                0.76526,                0.84606,                0.56666,                 1.4699,             0.00014014,             0.00014014,             0.00014014
                    120,                0.50082,                0.47642,                 1.0815,                0.93794,                0.84444,                 0.9427,                0.75165,                 0.9022,                0.58561,                 1.5497,             0.00013849,             0.00013849,             0.00013849
                    121,                 0.5043,                0.46756,                 1.0726,                0.89861,                0.85867,                 0.9394,                0.75709,                0.87295,                0.57822,                 1.4999,             0.00013685,             0.00013685,             0.00013685
                    122,                0.49559,                0.46533,                 1.0656,                 0.9209,                0.84626,                0.93918,                0.75083,                0.89703,                0.59554,                 1.5471,              0.0001352,              0.0001352,              0.0001352
                    123,                 0.4981,                0.46171,                 1.0769,                0.92122,                0.86395,                0.94786,                 0.7764,                0.82683,                 0.5436,                 1.4679,             0.00013355,             0.00013355,             0.00013355
                    124,                0.48858,                0.44071,                 1.0632,                0.94985,                0.83094,                 0.9532,                0.78298,                0.79762,                0.54165,                 1.4141,              0.0001319,              0.0001319,              0.0001319
                    125,                0.50619,                0.44639,                 1.0737,                0.94814,                0.84515,                0.94389,                0.76881,                0.84904,                0.56435,                 1.4889,             0.00013025,             0.00013025,             0.00013025
                    126,                 0.5017,                0.45655,                 1.0708,                0.91757,                0.87905,                0.95881,                0.76104,                0.90152,                0.52647,                  1.548,              0.0001286,              0.0001286,              0.0001286
                    127,                 0.4826,                0.44096,                 1.0568,                 0.9159,                0.84881,                0.94195,                 0.7534,                0.87755,                0.57529,                  1.532,             0.00012696,             0.00012696,             0.00012696
                    128,                0.48821,                0.44655,                 1.0631,                0.93513,                0.84067,                0.95044,                0.76108,                0.88653,                 0.5557,                 1.5409,             0.00012531,             0.00012531,             0.00012531
